Symbol,Company Name,Market Cap,% Change,Volume,Revenue
LOOP,"Loop Industries, Inc.",144.01M,-4.62%,15,119.49K
NTIC,Northern Technologies International Corporation,132.83M,-0.77%,7292,80.13M
FRD,"Friedman Industries, Incorporated",128.02M,-0.05%,10099,508.21M
AREC,American Resources Corporation,126.79M,2.47%,428,21.36M
THM,International Tower Hill Mines Ltd.,123.81M,-6.45%,93804,-
PLG,Platinum Group Metals Ltd.,120.93M,9.26%,884212,-
LGO,Largo Inc.,116.75M,1.11%,26992,202.02M
ABAT,American Battery Technology Company,116.74M,7.66%,24852,-
ACNT,Ascent Industries Co.,106.52M,-1.43%,3833,280.79M
TRX,TRX Gold Corporation,103.96M,-1.01%,359221,38.01M
IDR,"Idaho Strategic Resources, Inc.",100.63M,-2.68%,17649,13.31M
VOXR,Vox Royalty Corp.,97.12M,0.51%,47714,11.42M
GLT,Glatfelter Corporation,95.26M,4.46%,586507,1.39B
NB,NioCorp Developments Ltd.,92.37M,-0.38%,-,-
FEAM,5E Advanced Materials Inc.,90.50M,3.50%,185624,-
ORGN,"Origin Materials, Inc.",77.76M,2.05%,2876,28.81M
USGO,U.S. GoldMining Inc.,71.42M,1.05%,6295,-
TMQ,Trilogy Metals Inc.,70.76M,-1.00%,62157,-
FURY,Fury Gold Mines Limited,64.78M,-4.28%,235051,-
ASM,Avino Silver & Gold Mines Ltd.,63.87M,1.57%,610614,46.01M
USAS,Americas Gold and Silver Corporation,54.24M,3.33%,472984,84.89M
VGZ,Vista Gold Corp.,52.55M,10.14%,535398,-
EVA,Enviva Inc.,50.28M,-27.39%,7807614,1.13B
ITRG,Integra Resources Corp.,48.45M,3.88%,195888,-
HYMC,Hycroft Mining Holding Corporation,46.09M,1.79%,6241,11.47M
XPL,Solitario Zinc Corp.,44.08M,-0.34%,40367,-
HGAS,Global Gas Corporation,42.20M,6.95%,100,-
HUDI,"Huadi International Group Co., Ltd.",39.93M,1.82%,40216,84.33M
CGA,"China Green Agriculture, Inc.",39.70M,-3.60%,3262,112.20M
BHIL,"Benson Hill, Inc.",37.61M,-6.57%,691280,404.61M
USAU,U.S. Gold Corp.,32.66M,-4.11%,60353,-
ELBM,Electra Battery Materials Corporation,29.48M,-0.47%,1087,-
UAMY,United States Antimony Corporation,27.59M,9.39%,711999,8.45M
WWR,"Westwater Resources, Inc.",26.88M,-2.84%,131660,-
BYU,"BAIYU Holdings, Inc.",26.68M,1.47%,118809,120.11M
GORO,Gold Resource Corporation,25.74M,3.64%,890545,108.96M
FSI,"Flexible Solutions International, Inc.",24.87M,-,18887,41.11M
ZKIN,"ZK International Group Co., Ltd.",21.58M,6.93%,249,109.16M
LITM,Snow Lake Resources Ltd.,21.13M,-1.89%,95,-
PZG,Paramount Gold Nevada Corp.,20.81M,0.88%,44272,-
HLP,Hongli Group Inc.,19.42M,2.61%,40063,18.71M
INHD,Inno Holdings Inc.,18.93M,-4.00%,672,657.36K
AAU,Almaden Minerals Ltd.,18.90M,-0.07%,244547,-
GRFX,Graphex Group Limited,18.87M,-7.14%,48209,42.01M
JCTCF,Jewett-Cameron Trading Company Ltd.,18.75M,-0.83%,1660,51.52M
SEED,Origin Agritech Limited,17.43M,-1.09%,21331,12.83M
AUST,Austin Gold Corp.,15.79M,8.67%,161481,-
GURE,"Gulf Resources, Inc.",13.88M,2.98%,3182,41.76M
RETO,"ReTo Eco-Solutions, Inc.",8.84M,7.27%,3036,4.82M
CNEY,CN Energy Group. Inc.,6.08M,-2.34%,2599,57.90M
AUMN,Golden Minerals Company,5.35M,4.26%,99536,16.29M
SVFD,"Save Foods, Inc.",4.49M,-1.31%,23082,381.68K
SNES,"SenesTech, Inc.",4.48M,-4.16%,3504,1.19M
YTEN,"Yield10 Bioscience, Inc.",3.06M,-4.91%,1494,147.00K
ITP,"IT Tech Packaging, Inc.",2.80M,-,26444,86.96M
RKDA,"Arcadia Biosciences, Inc.",2.78M,-1.59%,1,5.50M
CRKN,Crown ElectroKinetics Corp.,2.51M,-0.58%,75377,59.00K
