Symbol,Company Name,Market Cap,% Change,Volume,Revenue
FG,"F&G Annuities & Life, Inc.",4.67B,-2.70%,73187,4.50B
FFIN,"First Financial Bankshares, Inc.",4.61B,0.77%,3131,481.18M
DNB,"Dun & Bradstreet Holdings, Inc.",4.57B,0.58%,2421405,2.31B
LNC,Lincoln National Corporation,4.57B,0.41%,1267084,11.65B
ACT,"Enact Holdings, Inc.",4.56B,0.25%,14507,1.15B
SLM,SLM Corporation,4.55B,1.89%,4,1.46B
JXN,Jackson Financial Inc.,4.54B,0.34%,609614,3.16B
WTM,"White Mountains Insurance Group, Ltd.",4.54B,-,5568,2.17B
ESGR,Enstar Group Limited,4.53B,4.06%,49266,1.43B
GBCI,"Glacier Bancorp, Inc.",4.50B,0.91%,428994,794.97M
RDN,Radian Group Inc.,4.49B,-0.74%,672186,1.24B
FRHC,Freedom Holding Corp.,4.47B,-0.98%,25609,1.40B
PFSI,"PennyMac Financial Services, Inc.",4.45B,2.77%,354568,1.40B
AEL,American Equity Investment Life Holding Company,4.41B,0.11%,338645,2.84B
BNRE.A,Brookfield Reinsurance Ltd,4.40B,1.57%,-,6.25B
VLY,Valley National Bancorp,4.19B,0.86%,15784,1.84B
UMBF,UMB Financial Corporation,4.08B,-0.05%,120429,1.42B
COLB,"Columbia Banking System, Inc.",4.08B,0.36%,44729,1.78B
CRVL,CorVel Corporation,3.99B,0.32%,100,773.52M
PJT,PJT Partners Inc.,3.93B,0.54%,246801,1.15B
MAIN,Main Street Capital Corporation,3.91B,-0.02%,312848,500.39M
AB,AllianceBernstein Holding L.P.,3.89B,0.47%,401140,299.78M
GGAL,Grupo Financiero Galicia S.A.,3.89B,0.26%,973572,1.73B
HWC,Hancock Whitney Corporation,3.85B,0.29%,2215,1.33B
CNS,"Cohen & Steers, Inc.",3.75B,0.72%,127511,489.64M
KMPR,Kemper Corporation,3.75B,-2.71%,282914,4.94B
STEP,StepStone Group Inc.,3.71B,-1.12%,1,527.20M
TFSL,TFS Financial Corporation,3.60B,0.23%,279386,301.59M
SFBS,"ServisFirst Bancshares, Inc.",3.54B,0.74%,128361,422.64M
AMTD,AMTD IDEA Group,3.48B,-,47350,235.75M
MC,Moelis & Company,3.48B,0.29%,366184,854.75M
LAZ,Lazard Ltd,3.41B,0.13%,828604,2.52B
BGC,"BGC Group, Inc",3.39B,-1.40%,209743,2.03B
IBOC,International Bancshares Corporation,3.37B,-0.02%,199224,798.87M
ABCB,Ameris Bancorp,3.28B,0.32%,332009,935.22M
IFS,Intercorp Financial Services Inc.,3.26B,-0.14%,114088,1.15B
NNI,"Nelnet, Inc.",3.25B,1.27%,90015,1.15B
ASB,Associated Banc-Corp,3.17B,-0.56%,1515685,1.02B
WD,"Walker & Dunlop, Inc.",3.16B,0.91%,130822,1.05B
UCBI,"United Community Banks, Inc.",3.13B,-0.11%,3,803.82M
APAM,Artisan Partners Asset Management Inc.,3.09B,1.34%,395028,975.13M
BUR,Burford Capital Limited,3.09B,0.93%,834501,-
GSHD,"Goosehead Insurance, Inc",3.08B,1.21%,76,261.28M
LU,Lufax Holding Ltd,3.08B,-0.39%,3911223,5.46B
FHI,"Federated Hermes, Inc.",3.05B,-1.00%,569880,1.61B
VIRT,"Virtu Financial, Inc.",3.02B,-0.52%,432,2.29B
HGTY,"Hagerty, Inc.",3.02B,2.39%,73513,952.17M
AVAL,Grupo Aval Acciones y Valores S.A.,3.02B,-0.59%,61398,2.82B
CATY,Cathay General Bancorp,2.98B,0.35%,2068,784.06M
BANF,BancFirst Corporation,2.92B,-0.40%,879,602.41M
HTGC,"Hercules Capital, Inc.",2.91B,-1.36%,4365783,460.67M
FBP,First BanCorp.,2.91B,0.06%,607526,868.86M
CNO,"CNO Financial Group, Inc.",2.91B,-0.07%,563095,4.15B
PIPR,Piper Sandler Companies,2.90B,0.30%,71629,1.35B
AX,"Axos Financial, Inc.",2.90B,0.16%,418746,1.03B
TCBI,"Texas Capital Bancshares, Inc.",2.89B,0.10%,270849,1.00B
BMA,Banco Macro S.A.,2.89B,-1.96%,274476,2.81B
BHF,"Brighthouse Financial, Inc.",2.89B,-0.09%,90,4.12B
FIBK,"First Interstate BancSystem, Inc.",2.77B,0.26%,32500,993.60M
GNW,"Genworth Financial, Inc.",2.74B,-2.06%,1729306,7.49B
FHB,"First Hawaiian, Inc.",2.71B,-0.16%,375265,810.31M
GBDC,"Golub Capital BDC, Inc.",2.68B,-0.57%,637732,630.98M
AMK,"AssetMark Financial Holdings, Inc.",2.67B,-1.45%,153733,714.45M
INTR,"Inter & Co, Inc.",2.66B,-1.96%,1247120,975.89M
MCY,Mercury General Corporation,2.65B,-0.95%,149243,4.63B
WSFS,WSFS Financial Corporation,2.64B,0.53%,3,926.90M
AUB,Atlantic Union Bankshares Corporation,2.57B,1.34%,190024,670.27M
FULT,Fulton Financial Corporation,2.56B,-1.01%,15108,1.03B
VCTR,"Victory Capital Holdings, Inc.",2.55B,1.51%,280696,821.03M
QFIN,Qifu Technology Inc.,2.53B,-1.94%,1164948,2.16B
BANC,"Banc of California, Inc.",2.52B,-0.87%,1519065,246.84M
CBU,"Community Bank System, Inc.",2.52B,0.64%,232488,640.92M
NYCB,"New York Community Bancorp, Inc.",2.50B,5.78%,132014666,5.07B
BOH,Bank of Hawaii Corporation,2.48B,1.10%,246705,664.63M
CVBF,CVB Financial Corp.,2.48B,0.73%,8165,545.32M
SFNC,Simmons First National Corporation,2.47B,-0.95%,3,763.66M
NMIH,"NMI Holdings, Inc.",2.37B,-0.68%,335220,579.00M
EBC,"Eastern Bankshares, Inc.",2.31B,0.76%,1001,292.60M
WAFD,WaFd Inc,2.30B,0.39%,6,673.02M
UPST,"Upstart Holdings, Inc.",2.27B,1.42%,302364,513.56M
PPBI,"Pacific Premier Bancorp, Inc.",2.27B,0.55%,316146,440.99M
PUYI,Puyi Inc.,2.22B,12.50%,619,15.81M
PAX,Patria Investments Limited,2.20B,-0.40%,260,307.16M
INDB,Independent Bank Corp.,2.19B,0.62%,223429,707.88M
SNEX,StoneX Group Inc.,2.18B,0.54%,71792,67.42B
PSEC,Prospect Capital Corporation,2.17B,-0.18%,13849,883.81M
PRK,Park National Corporation,2.15B,0.41%,25381,462.84M
SBCF,Seacoast Banking Corporation of Florida,2.13B,0.64%,3,529.87M
FFBC,First Financial Bancorp.,2.10B,0.18%,2511,797.09M
SPNT,SiriusPoint Ltd.,2.07B,0.57%,403438,2.74B
BKU,"BankUnited, Inc.",2.06B,0.91%,563686,873.04M
TOWN,TowneBank,2.06B,0.51%,291997,770.52M
FRME,First Merchants Corporation,2.05B,0.91%,9602,647.50M
HTH,Hilltop Holdings Inc.,2.04B,1.69%,310162,1.18B
TBBK,"The Bancorp, Inc.",2.01B,-5.59%,56,447.82M
MBIN,Merchants Bancorp,1.96B,2.17%,115908,482.46M
AGM,Federal Agricultural Mortgage Corporation,1.93B,0.45%,71623,350.20M
TSLX,"Sixth Street Specialty Lending, Inc.",1.93B,-0.43%,753470,438.09M
AGM.A,Federal Agricultural Mortgage Corporation,1.93B,-,25,350.20M
IBTX,"Independent Bank Group, Inc.",1.92B,-0.53%,169255,503.86M
BRP,"BRP Group, Inc.",1.89B,-2.15%,2911,1.22B
PLMR,"Palomar Holdings, Inc.",1.87B,-1.88%,59346,375.93M
BFH,"Bread Financial Holdings, Inc.",1.86B,-0.32%,396875,3.06B
NAVI,Navient Corporation,1.85B,0.49%,706532,1.15B
DFIN,"Donnelley Financial Solutions, Inc.",1.82B,-2.94%,317077,797.20M
LOB,"Live Oak Bancshares, Inc.",1.80B,-0.15%,128756,405.72M
ENVA,"Enova International, Inc.",1.79B,0.65%,164132,1.23B
RNST,Renasant Corporation,1.77B,0.64%,83012,616.81M
OFG,OFG Bancorp,1.77B,0.24%,249252,628.61M
TFIN,"Triumph Financial, Inc.",1.76B,0.23%,110198,406.05M
NWLI,"National Western Life Group, Inc.",1.76B,0.10%,11640,703.35M
VRTS,"Virtus Investment Partners, Inc.",1.76B,1.05%,59561,845.27M
WSBC,"WesBanco, Inc.",1.76B,0.85%,225155,584.05M
LKFN,Lakeland Financial Corporation,1.73B,0.06%,134111,241.04M
CLBK,"Columbia Financial, Inc.",1.73B,0.49%,3028,228.47M
CUBI,"Customers Bancorp, Inc.",1.72B,0.18%,173833,683.40M
BBUC,Brookfield Business Corporation,1.72B,3.20%,59228,7.68B
FBK,FB Financial Corporation,1.70B,1.39%,64862,475.22M
STC,Stewart Information Services Corporation,1.70B,-1.24%,231710,2.21B
GSBD,"Goldman Sachs BDC, Inc.",1.69B,0.26%,293322,454.91M
TRMK,Trustmark Corporation,1.66B,0.44%,194282,735.26M
NBTB,NBT Bancorp Inc.,1.65B,0.26%,133983,495.12M
GCMG,GCM Grosvenor Inc,1.62B,1.12%,226482,445.00M
BBAR,BBVA Argentina,1.62B,4.14%,2355706,976.63M
BANR,Banner Corporation,1.60B,-0.36%,1300,609.63M
OCSL,Oaktree Specialty Lending Corporation,1.56B,0.36%,234,398.09M
CHCO,City Holding Company,1.55B,-0.50%,41553,286.63M
EFSC,Enterprise Financial Services Corp,1.53B,0.07%,2015,594.71M
DWAC,Digital World Acquisition Corp.,1.52B,2.69%,36350,-
FIHL,Fidelis Insurance Holdings Limited,1.50B,-0.06%,458892,3.60B
HTLF,"Heartland Financial USA, Inc.",1.49B,-0.57%,5238,558.60M
NWBI,"Northwest Bancshares, Inc.",1.47B,-0.86%,724685,526.63M
FBNC,First Bancorp,1.45B,0.74%,88514,386.34M
HMN,Horace Mann Educators Corporation,1.45B,-0.48%,238495,1.49B
SKWD,"Skyward Specialty Insurance Group, Inc.",1.42B,-0.14%,600,827.04M
FINV,FinVolution Group,1.42B,-3.85%,1254863,1.70B
NTB,The Bank of N.T. Butterfield & Son Limited,1.40B,0.23%,201117,578.60M
FCF,First Commonwealth Financial Corporation,1.39B,0.30%,314509,467.47M
SYBT,"Stock Yards Bancorp, Inc.",1.37B,0.95%,49955,325.76M
