Symbol,Company Name,Market Cap,% Change,Volume,Revenue
JACK,Jack in the Box Inc.,1.44B,-1.15%,22,1.65B
LESL,"Leslie's, Inc.",1.41B,2.00%,3,1.43B
VSCO,Victoria's Secret & Co.,1.39B,-29.70%,25761607,6.12B
RSI,"Rush Street Interactive, Inc.",1.39B,16.14%,7854547,691.16M
GES,"Guess', Inc.",1.39B,-0.27%,626233,2.70B
GIII,"G-III Apparel Group, Ltd.",1.36B,1.30%,416,3.19B
XPEL,"XPEL, Inc.",1.35B,2.27%,117963,396.29M
CAL,"Caleres, Inc.",1.34B,1.15%,255737,2.82B
MCRI,"Monarch Casino & Resort, Inc.",1.33B,1.04%,59388,501.48M
PLYA,Playa Hotels & Resorts N.V.,1.31B,0.32%,478381,977.50M
SBH,"Sally Beauty Holdings, Inc.",1.31B,2.89%,1013237,3.70B
MSC,Studio City International Holdings Limited,1.30B,0.05%,39,445.54M
OSW,OneSpaWorld Holdings Limited,1.29B,0.71%,675380,794.05M
WINA,Winmark Corporation,1.24B,2.47%,30069,83.24M
GOOS,Canada Goose Holdings Inc.,1.23B,-1.48%,636251,954.14M
OLPX,"Olaplex Holdings, Inc.",1.22B,5.11%,6486,458.30M
CWH,"Camping World Holdings, Inc.",1.22B,-1.63%,674007,6.23B
CARS,Cars.com Inc.,1.21B,1.88%,371085,689.18M
SHCO,Soho House & Co Inc.,1.15B,0.51%,64542,1.12B
EXTO,Almacenes Éxito S.A.,1.13B,1.22%,57114,5.45B
BLBD,Blue Bird Corporation,1.06B,-3.52%,1164,1.21B
KRUS,"Kura Sushi USA, Inc.",1.03B,0.78%,28139,199.59M
TRS,TriMas Corporation,1.02B,-0.36%,277934,893.55M
GDEN,"Golden Entertainment, Inc.",971.25M,4.79%,179788,1.05B
HOV,"Hovnanian Enterprises, Inc.",969.13M,-1.48%,85104,2.83B
NGMS,NeoGames S.A.,968.09M,0.77%,25719,191.54M
BZH,"Beazer Homes USA, Inc.",967.17M,1.59%,194842,2.15B
MNRO,"Monro, Inc.",966.44M,1.19%,298468,1.28B
ACEL,"Accel Entertainment, Inc.",940.28M,2.14%,155805,1.17B
FIGS,"FIGS, Inc.",910.72M,-0.37%,2885067,545.65M
HIBB,"Hibbett, Inc.",910.20M,3.49%,209942,1.72B
NWTN,NWTN Inc.,895.77M,-0.32%,57306,583.00K
BJRI,"BJ's Restaurants, Inc.",890.98M,-0.55%,322381,1.33B
TILE,"Interface, Inc.",888.73M,0.93%,29,1.26B
PTLO,Portillo's Inc.,868.53M,1.15%,56,679.91M
MBUU,"Malibu Boats, Inc.",864.63M,0.29%,184563,1.21B
SCVL,"Shoe Carnival, Inc.",843.66M,2.26%,934,1.19B
EVGO,"EVgo, Inc.",838.21M,-7.95%,46737,160.95M
LAZR,"Luminar Technologies, Inc.",838.08M,-4.61%,122733,69.78M
ETD,Ethan Allen Interiors Inc.,836.92M,0.80%,195772,704.86M
SABR,Sabre Corporation,831.06M,-,20286,2.91B
CHPT,"ChargePoint Holdings, Inc.",820.95M,1.04%,10298532,543.63M
EVRI,Everi Holdings Inc.,791.32M,-0.42%,1647050,807.82M
MYE,"Myers Industries, Inc.",790.45M,0.09%,305521,813.07M
AXL,"American Axle & Manufacturing Holdings, Inc.",779.69M,1.80%,2150640,6.08B
DIN,"Dine Brands Global, Inc.",774.85M,-0.85%,144189,831.07M
ARKO,Arko Corp.,772.66M,-0.31%,5774,9.41B
WWW,"Wolverine World Wide, Inc.",745.62M,3.85%,641415,2.24B
HSAI,Hesai Group,711.78M,3.85%,5273,237.28M
JMIA,Jumia Technologies AG,700.29M,-0.86%,3281705,207.11M
BWMX,"Betterware de México, S.A.P.I. de C.V.",698.01M,3.27%,11,737.67M
WOOF,"Petco Health and Wellness Company, Inc.",695.39M,1.97%,851,6.16B
HZO,"MarineMax, Inc.",683.04M,0.26%,144607,2.41B
ECX,"ECARX Holdings, Inc.",674.79M,-3.48%,75,4.67B
SMP,"Standard Motor Products, Inc.",672.25M,0.33%,164826,1.36B
XPOF,"Xponential Fitness, Inc.",656.77M,-1.00%,389665,318.66M
FLWS,"1-800-FLOWERS.COM, Inc.",652.07M,1.40%,220591,1.91B
DESP,"Despegar.com, Corp.",624.89M,9.11%,652909,647.92M
DADA,Dada Nexus Limited,620.94M,-3.91%,4544,1.50B
LEGH,Legacy Housing Corporation,613.45M,0.40%,16993,230.98M
MOV,"Movado Group, Inc.",607.64M,0.58%,152575,687.25M
BH,Biglari Holdings Inc.,591.77M,-0.65%,2152,365.32M
CHUY,"Chuy's Holdings, Inc.",590.34M,-0.06%,202,461.31M
PLOW,"Douglas Dynamics, Inc.",589.31M,-0.86%,126810,568.18M
DBI,Designer Brands Inc.,582.79M,-0.68%,796306,3.08B
KRT,Karat Packaging Inc.,578.97M,1.48%,25053,402.74M
MLR,"Miller Industries, Inc.",571.71M,10.83%,184951,1.15B
SES,SES AI Corporation,564.39M,3.14%,319434,-
SDA,SunCar Technology Group Inc.,559.47M,-0.63%,10220,317.06M
LQDT,"Liquidity Services, Inc.",552.95M,1.29%,125354,313.51M
HVT,"Haverty Furniture Companies, Inc.",541.49M,0.73%,67046,862.13M
HVT.A,"Haverty Furniture Companies, Inc.",536.61M,-3.26%,10,931.95M
HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,528.12M,8.72%,4004,907.59M
QRTEB,"Qurate Retail, Inc.",527.80M,-2.08%,732,10.92B
QRTEA,"Qurate Retail, Inc.",527.80M,4.13%,16098,10.92B
TAST,"Carrols Restaurant Group, Inc.",517.17M,-,224199,1.85B
RICK,"RCI Hospitality Holdings, Inc.",516.65M,-0.81%,100,297.73M
BALY,Bally's Corporation,510.06M,4.19%,361416,2.41B
CURV,Torrid Holdings Inc.,499.69M,2.13%,29843,1.19B
DENN,Denny's Corporation,484.91M,0.54%,200,463.92M
HLLY,Holley Inc.,483.52M,0.25%,338134,658.16M
SRI,"Stoneridge, Inc.",461.80M,-,34719,975.82M
LIND,"Lindblad Expeditions Holdings, Inc.",459.77M,-0.35%,2,562.14M
JOUT,Johnson Outdoors Inc.,446.42M,0.46%,23841,624.15M
MED,"Medifast, Inc.",415.01M,0.13%,325596,1.07B
REAL,"The RealReal, Inc.",408.30M,6.56%,21309,549.30M
CRMT,"America's Car-Mart, Inc.",398.27M,2.55%,21415,1.44B
PBPB,Potbelly Corporation,396.34M,0.97%,10237,485.81M
CSV,"Carriage Services, Inc.",388.53M,1.46%,102548,382.52M
ONEW,OneWater Marine Inc.,388.00M,1.69%,69931,1.93B
NEGG,"Newegg Commerce, Inc.",378.61M,-3.30%,20176,-
HNST,"The Honest Company, Inc.",376.76M,24.76%,95782,335.96M
AGS,"PlayAGS, Inc.",376.54M,5.73%,457769,356.54M
SNBR,Sleep Number Corporation,376.28M,2.17%,231,1.89B
GGR,Gogoro Inc.,369.04M,-,136768,349.85M
PACK,Ranpak Holdings Corp.,367.59M,-3.05%,812431,325.30M
MPX,Marine Products Corporation,365.21M,0.96%,20034,383.73M
LANV,Lanvin Group Holdings Limited,361.87M,20.69%,435407,478.19M
MCFT,"MasterCraft Boat Holdings, Inc.",360.09M,0.43%,70325,537.04M
BBW,"Build-A-Bear Workshop, Inc.",344.20M,2.25%,178521,481.95M
FNKO,"Funko, Inc.",339.27M,0.47%,21043,1.10B
UHG,"United Homes Group, Inc.",337.04M,-1.69%,11306,419.74M
GCO,Genesco Inc.,336.28M,2.27%,130011,2.31B
LOVE,The Lovesac Company,335.96M,1.31%,80,688.24M
HYLN,Hyliion Holdings Corp.,332.52M,-4.81%,722593,672.00K
MYTE,MYT Netherlands Parent B.V.,325.89M,2.96%,116270,874.94M
ZUMZ,Zumiez Inc.,323.69M,-1.35%,142786,873.77M
NAAS,NaaS Technology Inc.,320.37M,1.53%,210,-
GAMB,Gambling.com Group Limited,319.13M,1.19%,92497,97.47M
GHG,GreenTree Hospitality Group Ltd.,313.79M,-4.48%,4637,-
CDRO,"Codere Online Luxembourg, S.A.",313.01M,-0.58%,10817,152.88M
AEVA,"Aeva Technologies, Inc.",311.65M,9.17%,2010937,2.89M
TTSH,"Tile Shop Holdings, Inc.",311.13M,-1.32%,139529,377.15M
COOK,"Traeger, Inc.",296.91M,5.83%,898018,580.54M
SFIX,"Stitch Fix, Inc.",295.62M,1.44%,3780,1.47B
LE,"Lands' End, Inc.",292.13M,-0.85%,25672,1.49B
IRBT,iRobot Corporation,290.55M,0.97%,2994,890.58M
LOCO,"El Pollo Loco Holdings, Inc.",283.55M,0.67%,248447,472.34M
GENK,"GEN Restaurant Group, Inc.",281.50M,-12.57%,23,181.01M
YSG,Yatsen Holding Limited,281.11M,-7.11%,1952906,481.63M
NATH,"Nathan's Famous, Inc.",280.90M,0.44%,1540,137.03M
HBB,Hamilton Beach Brands Holding Company,275.04M,6.51%,48178,625.63M
WEYS,"Weyco Group, Inc.",273.82M,-2.34%,10757,336.51M
CTRN,"Citi Trends, Inc.",273.42M,-0.53%,4504,742.22M
BRLT,"Brilliant Earth Group, Inc.",271.84M,-0.71%,35,441.67M
JILL,"J.Jill, Inc.",268.04M,0.08%,55760,602.87M
RMBL,"RumbleON, Inc.",265.79M,3.69%,20,1.38B
ALLG,Allego N.V.,257.87M,-2.03%,19305,167.77M
RERE,ATRenew Inc.,257.03M,-0.87%,90086,1.66B
