Symbol,Company Name,Market Cap,% Change,Volume,Revenue
VITL,"Vital Farms, Inc.",811.29M,4.74%,270,471.86M
STKL,SunOpta Inc.,791.35M,1.17%,1499525,630.30M
AVO,"Mission Produce, Inc.",775.78M,1.67%,195478,953.90M
UNFI,"United Natural Foods, Inc.",710.86M,-1.40%,1312127,30.25B
SPTN,SpartanNash Company,703.44M,1.75%,232050,9.73B
NUS,"Nu Skin Enterprises, Inc.",633.58M,-0.16%,714871,1.97B
OTLY,Oatly Group AB,593.20M,-4.76%,14329,783.35M
ISPR,Ispire Technology Inc.,533.57M,0.61%,47214,141.32M
CVGW,"Calavo Growers, Inc.",523.99M,0.14%,159427,971.95M
BYND,"Beyond Meat, Inc.",521.95M,-1.12%,23799,343.38M
DAO,"Youdao, Inc.",516.73M,-0.96%,208931,760.11M
VTRU,Vitru Limited,492.68M,-2.69%,13038,377.63M
LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,484.20M,-,61873,277.76M
TPB,"Turning Point Brands, Inc.",483.44M,1.59%,78799,405.39M
SKIN,The Beauty Health Company,479.12M,5.19%,810,399.30M
VLGEA,"Village Super Market, Inc.",392.35M,0.26%,18,2.20B
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",376.55M,3.05%,52792,1.16B
SENEB,Seneca Foods Corporation,361.23M,-5.15%,116,1.48B
SENEA,Seneca Foods Corporation,360.37M,-0.96%,35150,1.48B
NATR,"Nature's Sunshine Products, Inc.",341.63M,1.65%,39672,439.13M
LMNR,Limoneira Company,327.33M,2.25%,31068,181.73M
LINC,Lincoln Educational Services Corporation,317.28M,-1.09%,117452,378.07M
VSTA,Vasta Platform Limited,302.21M,-3.94%,306195,288.01M
DDL,Dingdong (Cayman) Limited,289.87M,-2.19%,280661,2.82B
AFRI,Forafric Global PLC,279.81M,0.58%,5884,280.40M
APEI,"American Public Education, Inc.",238.60M,-12.46%,10588,600.55M
MYND,Mynd.ai Inc,228.33M,2.45%,10,38.46M
ALCO,"Alico, Inc.",205.84M,0.33%,11555,43.24M
FREE,"Whole Earth Brands, Inc.",204.86M,-0.21%,11450,538.65M
HFFG,HF Foods Group Inc.,199.28M,-,78,1.16B
MAMA,"Mama's Creations, Inc.",191.74M,-1.35%,30,99.38M
LWAY,"Lifeway Foods, Inc.",179.34M,-2.52%,29458,153.87M
BIG,"Big Lots, Inc.",163.32M,3.98%,3147644,4.83B
QSG,QuantaSing Group Ltd,158.16M,-7.89%,55505,3.49B
STG,Sunlands Technology Group,157.14M,-1.38%,4832,302.12M
WILC,G. Willi-Food International Ltd.,144.22M,-2.99%,454,141.13M
ACU,Acme United Corporation,143.01M,3.96%,15340,193.67M
DIT,AMCON Distributing Company,125.43M,2.04%,46,2.62B
JZ,Jianzhi Education Technology Group Company Limited,109.00M,0.89%,9886,525.98M
IH,iHuman Inc.,101.26M,-6.49%,23175,143.60M
FTLF,"FitLife Brands, Inc.",99.87M,-1.67%,9048,44.77M
BRID,Bridgford Foods Corporation,94.58M,-0.67%,1,251.64M
SKIL,Skillsoft Corp.,92.83M,2.04%,11995,-
ZVIA,Zevia PBC,91.63M,-0.70%,79559,166.42M
LFVN,LifeVantage Corporation,89.56M,-0.86%,31664,210.95M
VFF,"Village Farms International, Inc.",79.37M,-1.14%,2748,280.84M
AXIL,AXIL Brands Inc.,79.03M,2.13%,-,27.08M
GROV,"Grove Collaborative Holdings, Inc.",78.65M,-5.83%,248385,273.46M
DTCK,Davis Commodities Limited,78.56M,-6.31%,87250,206.72M
FARM,Farmer Bros. Co.,73.97M,3.13%,17153,381.07M
BEDU,Bright Scholar Education Holdings Limited,63.47M,-5.00%,21854,-
AIU,Meta Data Limited,62.50M,-0.25%,9657,32.43M
ATPC,Agape ATP Corporation,59.37M,-0.06%,296,1.43M
AACG,ATA Creativity Global,47.42M,-6.23%,68,29.79M
UG,"United-Guardian, Inc.",37.86M,2.36%,8245,11.04M
TWOU,"2U, Inc.",36.93M,-0.02%,2313,926.34M
COE,51 Talk Online Education Group,36.80M,-1.64%,1249,24.69M
AAGR,African Agriculture Holdings Inc.,36.45M,-11.29%,-,1.65M
NAII,"Natural Alternatives International, Inc.",36.23M,-,3375,127.76M
LXEH,"Lixiang Education Holding Co., Ltd.",35.20M,-10.26%,23,52.42M
RGF,"The Real Good Food Company, Inc.",32.58M,-5.88%,115,156.38M
GNS,Genius Group Limited,31.78M,11.26%,3072257,22.55M
MSS,Maison Solutions Inc.,31.11M,-4.24%,32,57.34M
YQ,17 Education & Technology Group Inc.,30.37M,8.33%,202,22.44M
SBEV,"Splash Beverage Group, Inc.",28.92M,-2.04%,153002,20.95M
VWE,"Vintage Wine Estates, Inc.",27.96M,7.50%,180228,278.42M
RMCF,"Rocky Mountain Chocolate Factory, Inc.",25.26M,-0.74%,1,26.30M
WVVI,"Willamette Valley Vineyards, Inc.",25.07M,-,6217,39.77M
DDC,DDC Enterprise Limited,24.76M,-6.47%,61450,28.12M
YGF,"YanGuFang International Group Co., Ltd.",23.47M,0.14%,-,36.08M
BTOG,Bit Origin Limited,23.38M,9.43%,1590,6.26M
LOCL,Local Bounti Corporation,22.33M,-1.82%,3762,27.33M
SANW,S&W Seed Company,20.78M,-0.58%,949,68.01M
PLAG,Planet Green Holdings Corp.,20.18M,-0.04%,32359,24.26M
FEDU,Four Seasons Education (Cayman) Inc.,18.84M,-10.02%,38,11.33M
TCTM,TCTM Kids IT Education Inc.,18.40M,1.07%,53,293.63M
SDOT,Sadot Group Inc.,17.68M,4.86%,10455,708.48M
BRFH,"Barfresh Food Group, Inc.",16.71M,-6.98%,2368,7.64M
MTEX,"Mannatech, Incorporated",16.48M,7.38%,82,133.60M
STKH,Steakholder Foods Ltd.,15.79M,-0.20%,762,-
NCRA,"Nocera, Inc.",15.63M,-0.75%,18343,24.07M
EDTK,Skillful Craftsman Education Technology Limited,14.99M,1.89%,52200,5.52M
PAVS,Paranovus Entertainment Technology Ltd.,14.01M,-3.54%,3,51.46M
GSUN,Golden Sun Education Group Limited,13.93M,0.33%,201,6.16M
EEIQ,EpicQuest Education Group International Limited,11.69M,-17.09%,721,5.71M
VINE,"Fresh Vine Wine, Inc.",11.68M,-3.29%,108829,1.96M
PETZ,"TDH Holdings, Inc.",11.46M,-1.77%,19665,3.20M
TKLF,"Yoshitsu Co., Ltd",10.77M,4.21%,12857,166.27M
BOF,BranchOut Food Inc.,9.95M,-1.55%,55,1.37M
GV,Visionary Education Technology Holdings Group Inc.,9.45M,-1.82%,-,8.43M
AQB,"AquaBounty Technologies, Inc.",8.73M,2.23%,98,2.37M
LQR,LQR House Inc.,8.48M,-9.68%,17872,880.44K
WAFU,Wah Fu Education Group Limited,8.47M,2.12%,51,10.69M
JVA,"Coffee Holding Co., Inc.",7.65M,-,28386,68.17M
BTCT,BTC Digital Ltd.,7.44M,0.72%,116,-20.57M
LSF,"Laird Superfood, Inc.",7.37M,1.53%,29228,33.99M
BON,Bon Natural Life Limited,6.26M,-4.61%,5790,29.52M
FAMI,"Farmmi, Inc.",6.23M,-0.02%,3094,110.36M
XXII,"22nd Century Group, Inc.",6.12M,-13.70%,18674,82.41M
KAVL,"Kaival Brands Innovations Group, Inc.",5.55M,18.42%,1526,13.09M
BRSH,Bruush Oral Care Inc.,5.40M,-4.86%,410780,-
BTTR,Better Choice Company Inc.,5.29M,3.42%,183675,42.16M
AMBO,Ambow Education Holding Ltd.,5.05M,2.56%,28950,14.68M
CLEU,China Liberal Education Holdings Limited,4.93M,-8.75%,287,17.89M
SNAX,"Stryve Foods, Inc.",3.56M,-,77154,20.23M
TANH,Tantech Holdings Ltd,2.48M,-2.63%,121533,46.21M
EDBL,Edible Garden AG Incorporated,2.28M,-4.65%,724,13.04M
BSFC,Blue Star Foods Corp.,1.95M,-2.33%,60279,7.17M
GNLN,"Greenlane Holdings, Inc.",1.77M,-5.06%,16839,77.34M
NUZE,"NuZee, Inc.",1.75M,-5.42%,25000,3.35M
EAST,"Eastside Distilling, Inc.",1.64M,-4.36%,937,10.81M
AGRI,AgriFORCE Growing Systems Ltd.,899.57K,1.06%,101997,-
