Symbol,Company Name,Market Cap,% Change,Volume,Revenue
PMT,PennyMac Mortgage Investment Trust,1.24B,0.21%,415370,429.02M
ALEX,"Alexander & Baldwin, Inc.",1.21B,-0.54%,202009,208.90M
KW,"Kennedy-Wilson Holdings, Inc.",1.21B,0.71%,1335978,562.60M
DEA,"Easterly Government Properties, Inc.",1.20B,-0.34%,786306,287.23M
ELME,Elme Communities,1.15B,2.14%,500323,227.91M
MFA,"MFA Financial, Inc.",1.14B,0.81%,486665,248.45M
AIV,Apartment Investment and Management Company,1.12B,1.58%,696997,187.00M
UMH,"UMH Properties, Inc.",1.12B,-0.62%,269940,220.93M
ALX,"Alexander's, Inc.",1.10B,-0.95%,5714,224.96M
PGRE,"Paramount Group, Inc.",1.09B,0.88%,799921,742.79M
SVC,Service Properties Trust,1.08B,-1.23%,1273129,1.87B
CIM,Chimera Investment Corporation,1.07B,1.14%,1213863,252.64M
FBRT,"Franklin BSP Realty Trust, Inc.",1.05B,0.47%,216361,263.95M
PLYM,"Plymouth Industrial REIT, Inc.",991.30M,-,134619,199.85M
HPP,"Hudson Pacific Properties, Inc.",965.70M,0.60%,3534025,952.30M
ARR,"ARMOUR Residential REIT, Inc.",944.75M,0.21%,902351,-86.22M
EFC,Ellington Financial Inc.,939.57M,1.61%,782290,276.92M
AHH,"Armada Hoffler Properties, Inc.",932.84M,0.57%,357029,667.16M
CSR,Centerspace,884.52M,0.36%,23807,261.31M
BRSP,"BrightSpire Capital, Inc.",878.70M,1.20%,406679,232.72M
RWT,"Redwood Trust, Inc.",793.41M,0.50%,1230504,165.63M
PDM,"Piedmont Office Realty Trust, Inc.",784.90M,1.12%,517755,577.76M
RDFN,Redfin Corporation,772.69M,1.09%,67745,976.67M
BDN,Brandywine Realty Trust,754.95M,0.46%,1356498,514.65M
CBL,"CBL & Associates Properties, Inc.",749.83M,-0.60%,71953,535.29M
CHCT,Community Healthcare Trust Incorporated,746.24M,-0.19%,160252,112.85M
DX,"Dynex Capital, Inc.",728.29M,0.48%,676317,26.75M
INN,"Summit Hotel Properties, Inc.",688.60M,-1.41%,606092,736.13M
KREF,KKR Real Estate Finance Trust Inc.,683.09M,2.06%,627792,202.81M
DHC,Diversified Healthcare Trust,667.16M,-1.79%,1693445,1.41B
