Symbol,Company Name,Market Cap,% Change,Volume,Revenue
OLED,Universal Display Corporation,8.01B,2.17%,200,576.43M
DLB,"Dolby Laboratories, Inc.",7.87B,0.98%,217401,1.28B
DSGX,The Descartes Systems Group Inc.,7.43B,4.89%,329814,572.93M
SAIC,Science Applications International Corporation,7.36B,-1.33%,23,7.68B
CCCS,CCC Intelligent Solutions Holdings Inc.,7.36B,2.70%,13525,866.38M
LYFT,"Lyft, Inc.",7.32B,-1.37%,134636,4.40B
UI,Ubiquiti Inc.,7.20B,4.66%,63997,1.88B
RMBS,Rambus Inc.,7.06B,2.70%,802,461.12M
CGNX,Cognex Corporation,7.02B,-0.17%,4435,837.55M
MTSI,"MACOM Technology Solutions Holdings, Inc.",7.02B,4.56%,6,625.45M
FOUR,"Shift4 Payments, Inc.",7.00B,0.36%,1116351,2.56B
ALTR,Altair Engineering Inc.,6.89B,1.10%,13222,612.70M
BILL,BILL Holdings Inc,6.88B,3.81%,3371643,1.19B
SPSC,"SPS Commerce, Inc.",6.85B,1.22%,145458,536.91M
VNT,Vontier Corporation,6.69B,1.11%,531951,3.10B
YMM,Full Truck Alliance Co. Ltd.,6.51B,-5.30%,17676531,1.19B
ARW,"Arrow Electronics, Inc.",6.49B,-0.18%,341191,33.11B
NOVT,Novanta Inc.,6.40B,2.56%,137776,881.66M
KVYO,"Klaviyo, Inc.",6.38B,5.44%,2209377,698.10M
QLYS,"Qualys, Inc.",6.26B,0.62%,391274,554.46M
G,Genpact Limited,6.10B,1.50%,1117749,4.48B
NSIT,"Insight Enterprises, Inc.",6.09B,0.41%,205046,9.18B
ALGM,"Allegro MicroSystems, Inc.",6.07B,2.39%,2054,1.08B
LFUS,"Littelfuse, Inc.",5.91B,1.57%,467643,2.36B
SMAR,Smartsheet Inc.,5.69B,0.89%,1119122,913.73M
CLS,Celestica Inc.,5.64B,0.36%,1909065,7.96B
FRSH,Freshworks Inc.,5.53B,-0.48%,24497,596.43M
VRNS,"Varonis Systems, Inc.",5.48B,0.94%,633887,499.16M
DV,"DoubleVerify Holdings, Inc.",5.45B,7.75%,3109565,572.54M
TENB,"Tenable Holdings, Inc.",5.38B,2.50%,139,798.71M
BRZE,"Braze, Inc.",5.38B,-1.26%,10612,439.52M
EXLS,"ExlService Holdings, Inc.",5.37B,2.34%,5314,1.63B
PEGA,Pegasystems Inc.,5.32B,1.03%,389923,1.43B
NVMI,Nova Ltd.,5.28B,-1.22%,179,517.92M
ST,Sensata Technologies Holding plc,5.28B,1.92%,859731,4.05B
HCP,"HashiCorp, Inc.",5.24B,-0.90%,10177,583.14M
STNE,StoneCo Ltd.,5.15B,1.28%,11627,2.31B
EEFT,"Euronet Worldwide, Inc.",5.14B,0.89%,795,3.69B
KD,"Kyndryl Holdings, Inc.",4.97B,0.51%,1112607,16.46B
CRUS,"Cirrus Logic, Inc.",4.92B,3.28%,1484,1.79B
SLAB,Silicon Laboratories Inc.,4.85B,3.23%,367482,782.26M
DLO,DLocal Limited,4.85B,1.49%,4487,580.77M
GBTG,"Global Business Travel Group, Inc.",4.84B,2.00%,201101,2.27B
WK,Workiva Inc.,4.78B,1.08%,173804,630.04M
BMI,"Badger Meter, Inc.",4.77B,0.10%,110422,703.59M
CLVT,Clarivate Plc,4.77B,0.14%,2647414,2.63B
ASGN,ASGN Incorporated,4.77B,2.56%,258274,4.45B
ALIT,"Alight, Inc.",4.73B,1.33%,1933606,3.41B
CWAN,"Clearwater Analytics Holdings, Inc.",4.61B,-3.80%,3705999,368.17M
VERX,"Vertex, Inc.",4.59B,0.74%,558580,572.39M
FROG,JFrog Ltd.,4.59B,0.21%,21732,349.89M
ITRI,"Itron, Inc.",4.37B,0.58%,462299,2.17B
SQSP,"Squarespace, Inc.",4.36B,2.32%,743765,1.01B
CNXC,Concentrix Corporation,4.35B,-1.88%,1712,7.11B
CVLT,"Commvault Systems, Inc.",4.34B,0.35%,287,819.43M
POWI,"Power Integrations, Inc.",4.32B,4.90%,554319,444.54M
AVT,"Avnet, Inc.",4.27B,-0.27%,5502,25.61B
