Symbol,Company Name,Market Cap,% Change,Volume,Revenue
IBP,"Installed Building Products, Inc.",6.85B,2.67%,207540,2.78B
LSTR,"Landstar System, Inc.",6.71B,2.50%,11,5.30B
GNRC,Generac Holdings Inc.,6.68B,2.53%,627118,4.02B
AAON,"AAON, Inc.",6.61B,0.15%,2975,1.17B
ATI,ATI Inc.,6.52B,2.72%,914008,4.17B
HXL,Hexcel Corporation,6.50B,1.33%,364728,1.79B
CR,Crane Company,6.42B,6.47%,370735,2.42B
FLR,Fluor Corporation,6.35B,1.53%,1006975,15.47B
TNET,"TriNet Group, Inc.",6.34B,0.11%,144860,4.92B
CAE,CAE Inc.,6.25B,-0.05%,683884,3.38B
ATKR,Atkore Inc.,6.23B,3.61%,364242,3.48B
ADT,ADT Inc.,6.19B,-10.17%,38003324,4.98B
DRS,"Leonardo DRS, Inc.",6.17B,1.37%,1064,2.83B
ESAB,ESAB Corporation,6.03B,0.03%,136734,2.77B
TKR,The Timken Company,6.01B,1.04%,382248,4.77B
GTLS,"Chart Industries, Inc.",5.97B,2.38%,556412,3.35B
GXO,"GXO Logistics, Inc.",5.94B,-0.08%,890877,9.78B
FTAI,FTAI Aviation Ltd,5.90B,1.26%,14635,1.17B
MLI,"Mueller Industries, Inc.",5.89B,2.86%,595725,3.42B
FLS,Flowserve Corporation,5.66B,2.56%,1598619,4.32B
MSM,"MSC Industrial Direct Co., Inc.",5.65B,1.47%,423354,4.01B
BECN,"Beacon Roofing Supply, Inc.",5.54B,2.17%,5141,9.12B
ZWS,Zurn Elkay Water Solutions Corporation,5.51B,2.01%,519897,1.53B
LPX,Louisiana-Pacific Corporation,5.47B,0.42%,416285,2.58B
CWST,"Casella Waste Systems, Inc.",5.46B,1.19%,4849,1.26B
AWI,"Armstrong World Industries, Inc.",5.33B,0.67%,221023,1.30B
SPXC,"SPX Technologies, Inc.",5.30B,2.17%,113819,1.74B
MMS,"Maximus, Inc.",5.23B,0.34%,174310,4.98B
KEX,Kirby Corporation,5.22B,0.38%,227036,3.09B
R,"Ryder System, Inc.",5.10B,1.93%,121113,11.78B
AVAV,"AeroVironment, Inc.",5.00B,-2.51%,9107,705.78M
FSS,Federal Signal Corporation,4.94B,1.93%,287589,1.72B
