Symbol,Company Name,Market Cap,% Change,Volume,Revenue
PBT,Permian Basin Royalty Trust,549.25M,-1.37%,124368,29.10M
OBE,Obsidian Energy Ltd.,547.31M,0.42%,277625,514.59M
BRY,Berry Corporation,536.48M,0.28%,314,797.82M
TTI,"TETRA Technologies, Inc.",512.53M,0.26%,738017,626.26M
GPRK,GeoPark Limited,511.23M,9.36%,1119394,787.86M
SD,"SandRidge Energy, Inc.",505.93M,4.44%,700906,148.64M
URG,Ur-Energy Inc.,470.32M,5.70%,4354311,17.68M
EGY,"VAALCO Energy, Inc.",446.93M,1.74%,520518,402.50M
OSG,"Overseas Shipholding Group, Inc.",426.74M,-,335843,457.61M
SGU,"Star Group, L.P.",400.21M,0.91%,19710,1.83B
WTI,"W&T Offshore, Inc.",383.30M,-0.38%,3695207,532.66M
OIS,"Oil States International, Inc.",354.79M,5.35%,1502255,782.28M
SOI,"Solaris Oilfield Infrastructure, Inc.",347.10M,-0.49%,244301,292.95M
BOOM,DMC Global Inc.,338.34M,1.00%,123029,719.19M
UROY,Uranium Royalty Corp.,323.20M,5.06%,5118,21.29M
HNRG,Hallador Energy Company,294.38M,4.38%,722,667.37M
REI,"Ring Energy, Inc.",283.66M,2.11%,1029126,361.06M
CCLP,CSI Compressco LP,276.44M,-0.49%,323611,386.13M
RNGR,"Ranger Energy Services, Inc.",251.07M,1.96%,182372,636.60M
SJT,San Juan Basin Royalty Trust,250.76M,1.52%,184698,78.31M
AMPY,Amplify Energy Corp.,244.75M,2.62%,1080255,79.21B
BROG,Brooge Energy Limited,235.61M,-4.46%,709,-
FET,"Forum Energy Technologies, Inc.",231.30M,0.11%,39674,738.86M
NC,"NACCO Industries, Inc.",228.47M,-6.77%,44283,214.79M
NGS,"Natural Gas Services Group, Inc.",219.89M,-0.56%,40325,108.77M
SMLP,"Summit Midstream Partners, LP",213.76M,0.05%,8453,417.31M
EPM,Evolution Petroleum Corporation,193.04M,1.21%,191456,96.67M
PNRG,PrimeEnergy Resources Corporation,188.43M,3.83%,2050,111.14M
GTE,Gran Tierra Energy Inc.,183.48M,3.04%,463042,636.96M
GEOS,Geospace Technologies Corporation,164.60M,0.57%,7506,143.43M
KGEI,Kolibri Global Energy Inc.,138.15M,2.74%,11670,-
EP,Empire Petroleum Corporation,133.69M,-0.86%,15375,37.42M
AMTX,"Aemetis, Inc.",128.79M,-1.81%,839119,182.69M
VTNR,"Vertex Energy, Inc.",124.37M,-5.00%,13701,3.18B
KLXE,"KLX Energy Services Holdings, Inc.",123.92M,-2.59%,311027,917.50M
PHX,PHX Minerals Inc.,112.85M,0.66%,19134,50.95M
EPSN,Epsilon Energy Ltd.,110.58M,-,5649,37.38M
VOC,VOC Energy Trust,105.91M,1.64%,37941,19.14M
DLNG,Dynagas LNG Partners LP,104.89M,-0.70%,55674,158.59M
MMLP,Martin Midstream Partners L.P.,104.13M,1.92%,25783,797.96M
CRT,Cross Timbers Royalty Trust,101.81M,-1.46%,21864,12.71M
BATL,Battalion Oil Corporation,97.75M,0.50%,14989,250.32M
DTI,Drilling Tools International Corp.,89.90M,-2.94%,28,-
FTK,"Flotek Industries, Inc.",84.84M,-2.39%,53723,194.09M
SND,"Smart Sand, Inc.",81.41M,0.51%,31346,307.86M
IMPP,Imperial Petroleum Inc.,78.87M,5.02%,1509,183.73M
SLNG,"Stabilis Solutions, Inc.",74.67M,-10.07%,12483,73.11M
NINE,"Nine Energy Service, Inc.",69.94M,-4.81%,717314,632.12M
PFIE,"Profire Energy, Inc.",67.57M,-1.39%,130802,57.80M
AE,"Adams Resources & Energy, Inc.",67.46M,-0.08%,7793,2.78B
PED,PEDEVCO Corp.,60.21M,0.01%,42988,29.97M
PRT,PermRock Royalty Trust,54.14M,-1.98%,49830,9.03M
NRT,North European Oil Royalty Trust,51.01M,0.18%,21481,12.68M
PVL,Permianville Royalty Trust,45.54M,-2.17%,41144,15.17M
BPT,BP Prudhoe Bay Royalty Trust,43.22M,-2.86%,192606,22.11M
DWSN,Dawson Geophysical Company,42.21M,-0.71%,40,87.25M
NCSM,"NCS Multistage Holdings, Inc.",37.44M,2.95%,151,147.41M
BANL,CBL International Limited,28.50M,-1.75%,14393,419.17M
SDPI,"Superior Drilling Products, Inc.",27.96M,30.53%,1675929,21.95M
CKX,"CKX Lands, Inc.",26.26M,-1.19%,432,1.08M
USEG,U.S. Energy Corp.,26.00M,-0.98%,95,35.37M
VIVK,"Vivakor, Inc.",25.70M,2.08%,31404,61.79M
ICD,"Independence Contract Drilling, Inc.",25.19M,-,185915,210.11M
CEI,"Camber Energy, Inc.",24.18M,1.33%,4631149,10.35M
INDO,Indonesia Energy Corporation Limited,23.13M,-2.21%,16455,3.61M
BRN,"Barnwell Industries, Inc.",22.96M,1.78%,20999,23.91M
RCON,"Recon Technology, Ltd.",22.14M,-3.06%,201,9.27M
MXC,Mexco Energy Corporation,20.71M,1.01%,850,7.01M
MTR,Mesa Royalty Trust,18.92M,-0.04%,2569,4.13M
HUSA,Houston American Energy Corp.,14.18M,-1.54%,37899,872.18K
MARPS,Marine Petroleum Trust,8.04M,-4.06%,7900,1.18M
ENSV,Enservco Corporation,5.30M,-0.51%,143775,22.08M
TPET,Trio Petroleum Corp.,3.39M,-10.09%,1583739,-
